Node	Rewiring_score
UniRef90_T4C1L2	30.931265516254356
UniRef90_A0A139LNU5	30.075003579067662
UniRef90_A0A174I2V0	27.605871774482576
UniRef90_A7LY44	27.521520704940084
UniRef90_D1JXA0	27.45045176086016
UniRef90_A0A396CLY0	26.658360388601825
UniRef90_D1PHF2	26.321023757201
UniRef90_A0A015W084	25.626630050094537
UniRef90_D1JX84	25.336176665548596
UniRef90_C0FPR0	23.718167671284082
UniRef90_A0A174IWK6	23.434588046050088
UniRef90_A0A015PD35	22.84854999775724
UniRef90_D1JX87	22.655221303616372
UniRef90_E5VDI7	22.206884030766055
UniRef90_E1KPW4	22.125542755058444
UniRef90_A0A015RXL0	21.710725549361374
UniRef90_A0A3E4JFE8	21.694893171896446
UniRef90_A0A229I2G5	21.634486252377236
UniRef90_D1PEP6	21.60527633048344
UniRef90_C0FVX7	21.431679567783714
UniRef90_D1PI26	20.93206451247947
UniRef90_A0A017PFV9	20.56558164567881
UniRef90_A0A174PLH6	20.378453176965305
UniRef90_A0A229I6J7	20.310876559243948
UniRef90_A0A229I2N5	20.114768065527944
UniRef90_A7V7C4	20.112672483228884
UniRef90_R9HAW9	20.101487073101524
UniRef90_A7B832	19.961002164518863
UniRef90_B3C522	19.729196706884867
UniRef90_W1I7I5	19.57866416765563
UniRef90_A0A396B833	19.56726669396906
UniRef90_A0A396EH16	19.50335578362618
UniRef90_A0A016BUD9	19.33111245997614
UniRef90_A0A396B8L9	19.182392747896387
UniRef90_A0A396EUN4	19.147014233803162
UniRef90_A0A229I3Z9	19.10743388451998
UniRef90_A7V7C6	18.92217529876207
UniRef90_A0A078QYW1	18.854760870923926
UniRef90_A0A0J4Y5U0	18.655847931427207
UniRef90_A5ZI73	18.508132227878658
UniRef90_R7A7Y6	18.38254659391736
UniRef90_A6L6M9	18.02280971276775
UniRef90_I8UQP2	17.95157250218005
UniRef90_A0A078R3T2	17.870076475621318
UniRef90_A0A174FMC5	17.814608545649502
UniRef90_A0A016JHV3	17.57160361820284
UniRef90_A0A0P0M3Z0	17.363640880953287
UniRef90_A5ZT60	17.17499684927246
UniRef90_A7UXY6	17.116953619845628
UniRef90_B6FVN6	17.06920836382916
UniRef90_A0A174G5T7	16.97410432587822
UniRef90_A0A174WD73	16.895594915580194
UniRef90_C0FS11	16.891049943835768
UniRef90_A0A174V1A4	16.52459617215222
UniRef90_C0FUH6	16.443189057671376
UniRef90_A0A016EN64	16.38077501997116
UniRef90_A0A3E4SA91	16.337244073395144
UniRef90_I9R1R5	16.258699058519436
UniRef90_A0A3E4SDK6	15.891426690863545
UniRef90_A0A069SLF0	15.879414753606989
UniRef90_A7B5X1	15.740004453862976
UniRef90_A0A374T363	15.621477918676646
UniRef90_A0A2I1K572	15.496789311832746
UniRef90_B3JDS4	15.463287294170625
UniRef90_A0A174WI05	15.309717044678747
UniRef90_A7V7B7	15.263493359861936
UniRef90_E9RX65	15.098946743128387
UniRef90_R6CIJ6	15.073346440732225
UniRef90_W6PL08	15.070358293232502
UniRef90_F3QWH9	15.064324566960698
UniRef90_F0H7Q4	15.010540245043714
UniRef90_C0FQN8	14.953360170482927
UniRef90_A0A015P9C8	14.951570201293766
UniRef90_A5ZTB1	14.905067813564202
UniRef90_Q8A313	14.869403269284495
UniRef90_H3K6C4	14.823915287254765
UniRef90_A0A0P0EZV9	14.808582250088596
UniRef90_A6L6M5	14.791520703942215
UniRef90_A7LQH0	14.748752204539022
UniRef90_R7JSH8	14.736243177164424
UniRef90_A0A229I820	14.657692671929563
UniRef90_A0A3E2ZMJ3	14.601569406507197
UniRef90_A0A069SFL6	14.583946546682968
UniRef90_G1UMG8	14.549340050920224
UniRef90_A0A015V279	14.548698012578258
UniRef90_F7LFA0	14.54368040997227
UniRef90_A7B5X2	14.541472618867953
UniRef90_A0A015XAK8	14.516336456638365
UniRef90_I9PPT6	14.454140067772375
UniRef90_A0A396FGB3	14.399439087519708
UniRef90_A5Z300	14.39044070547435
UniRef90_H3KB90	14.252150935036049
UniRef90_A0A174RUH5	14.237490119239542
UniRef90_H3KAV0	14.19797026286774
UniRef90_B6FVM8	14.190860960423297
UniRef90_A0A174V8B5	14.184831863600394
UniRef90_A0A0E1X896	14.141948674261764
UniRef90_A0A0E2AIE4	14.015593094799128
UniRef90_A5ZL08	14.010048621374947
UniRef90_I9U451	13.862036950471937
UniRef90_G1WVB8	13.833760713619666
UniRef90_A7B6K2	13.825642498341844
UniRef90_D1PGD8	13.726137255263698
UniRef90_A0A174I6V5	13.70127063744059
UniRef90_K5ZST3	13.62558411753017
UniRef90_A5ZYU0	13.594963052402054
UniRef90_A0A174TB21	13.446544979370586
UniRef90_A0A2J1D4W6	13.430080838736222
UniRef90_A5ZWS6	13.341353482573455
UniRef90_H3K4C2	13.244705591610204
UniRef90_C0FSN2	13.224579474090334
UniRef90_A5ZBM7	13.210127768271125
UniRef90_R7NZV6	13.197828645387348
UniRef90_A0A174NS35	13.072278922848854
UniRef90_E5WU41	12.979749603731845
UniRef90_U2ZPB1	12.915130040107105
UniRef90_A0A015W7S7	12.870634712698743
UniRef90_S3YLG1	12.856964878076765
UniRef90_X5NU12	12.812164123489765
UniRef90_A0A174P488	12.754266203367477
UniRef90_A0A1D3U2W0	12.737470546983294
UniRef90_E1YX32	12.676076419888279
UniRef90_R6BTI0	12.493145465878362
UniRef90_A7B5W7	12.407856957333262
UniRef90_A0A174PUT5	12.3688672931065
UniRef90_E7SCT9	12.229983359249204
UniRef90_A5ZYU5	12.166303619606367
UniRef90_A0A0E1CNY9	12.12578168504585
UniRef90_A0A174Q249	12.072806766144774
UniRef90_E5X407	11.97494966174672
UniRef90_A0A396EWA6	11.956791242676305
UniRef90_A0A174PY25	11.787377352745706
UniRef90_A0A0K9CPZ3	11.767608189851892
UniRef90_J7SHX7	11.763462445554211
UniRef90_A5MC70	11.69404440230355
UniRef90_A5Z511	11.68853961528641
UniRef90_A0A0E1CME3	11.634449148197152
UniRef90_K7ZQ43	11.565365131124704
UniRef90_A5ZYV3	11.546941911928757
UniRef90_A0A173SKK8	11.52128582827846
UniRef90_R6BSE8	11.489851802261585
UniRef90_A7AJP8	11.455012961008975
UniRef90_F3PNT8	11.44465889905869
UniRef90_A0A0M6WPQ4	11.367522299206453
UniRef90_A0A395VRV3	11.327322176674052
UniRef90_H3K9P9	11.302209349838044
UniRef90_A0A174VPS5	11.301147149946734
UniRef90_A0A0U5KWX9	11.271242813933178
UniRef90_A0A2J1D4B4	11.26939193605671
UniRef90_A5ZNP0	11.218707182223964
UniRef90_A5KRI2	11.210002820707919
UniRef90_A0A174DSV6	11.202607656355882
UniRef90_A0A017N0B5	11.189498418339662
UniRef90_B0NWG2	11.135973869152805
UniRef90_A0A2I1TTC0	11.037496982852117
UniRef90_A0A174F7K5	11.034546552443098
UniRef90_A0A0E9FRS3	11.029875777803653
UniRef90_A0A3E5DKA9	11.022215150964946
UniRef90_A0A015ZEU5	10.99574461684003
UniRef90_A0A3E5DAU8	10.978520472282145
UniRef90_A5KNK6	10.968853943102669
UniRef90_A0A396ESD2	10.83743039243822
UniRef90_H3K8A5	10.718106864533148
UniRef90_E4W3A3	10.596102050846454
UniRef90_A0A396F1M4	10.592153245626859
UniRef90_A0A2V2D7Q0	10.506546630365595
UniRef90_E1LQM0	10.497156256757997
UniRef90_I9U5E7	10.411383547697362
UniRef90_C2EJM6	10.387742258284447
UniRef90_H3K7Y4	10.313188282315238
UniRef90_A5Z319	10.28985147688598
UniRef90_A0A3E5E9P4	10.286137212429331
UniRef90_A0A3E5DKB1	10.249439346035926
UniRef90_A0A378NNP6	10.16790879742556
UniRef90_J7TNS4	10.082867514644388
UniRef90_R6BUX8	9.983369347327196
UniRef90_D4CI30	9.901539323973166
UniRef90_D0DW03	9.787858285360805
UniRef90_A0A395XB74	9.75731077765597
UniRef90_F4SV89	9.742940708674242
UniRef90_K5YSM6	9.739069724646722
UniRef90_A0A0E1CFQ5	9.733384185020125
UniRef90_H3K8A3	9.699567438736484
UniRef90_H3K6C5	9.691399957503085
UniRef90_A5Z3S1	9.557301015748862
UniRef90_G1WVZ0	9.529613055095536
UniRef90_F3PHK0	9.48314810625806
UniRef90_I9GA88	9.326540709100717
UniRef90_A0A0K9CQ02	9.286371964513465
UniRef90_A0A0A0F7Q4	9.255434608524055
UniRef90_A0A366U8W6	9.220255566153037
UniRef90_B6FVN5	9.085203365821345
UniRef90_A6BKY7	9.084165752947424
UniRef90_H3K9P8	9.061795624199643
UniRef90_R6AE09	9.035914828709519
UniRef90_V6DNH8	8.909950601996272
UniRef90_A0A173QWW2	8.88227333104887
UniRef90_C2EJM5	8.825312449820961
UniRef90_A8S539	8.822013881246505
UniRef90_A5KRL1	8.815244776986047
UniRef90_A0A015SML5	8.81359228803006
UniRef90_R7KWC8	8.79632685572687
UniRef90_J7SHX6	8.770807397925816
UniRef90_B0NWG0	8.759949237281962
UniRef90_F3PSP1	8.689010345553498
UniRef90_A0A2Y0QZH5	8.611335373140827
UniRef90_A0A2V2D0A4	8.601446090877408
UniRef90_A7ZV89	8.570667148086297
UniRef90_S1QBV8	8.559176236240122
UniRef90_E2N7L9	8.539010120205317
UniRef90_V6DMJ4	8.490183356614684
UniRef90_U2Z4S8	8.407650807982755
UniRef90_C6GFR2	8.372139098531738
UniRef90_D4VAE5	8.354994495930667
UniRef90_R0BD64	8.340923721730503
UniRef90_A0A078QI44	8.28519904125367
UniRef90_A0A3E5G424	8.22518006548143
UniRef90_V8M0W9	8.214769609206506
UniRef90_UPI000E4CC2F2	8.18069676970632
UniRef90_A0A069S4N8	8.174144528879728
UniRef90_J7TUV6	8.047356488721258
UniRef90_I9E8A4	7.975699287062651
UniRef90_A0A174X3M1	7.857502557925461
UniRef90_S0FCZ1	7.713954182751078
UniRef90_D7NG96	7.687757037776351
UniRef90_A0A3E5G3Z9	7.6640746429100135
UniRef90_A0A174QBF2	7.663593511035595
UniRef90_P62524	7.6053785672602325
UniRef90_A7ACD2	7.54277013143018
UniRef90_A0A2U0P1R0	7.5109552624597615
UniRef90_A0A2W1MS38	7.467971348426469
UniRef90_A0A1I4YP31	7.353136834912717
UniRef90_T4BXP0	7.207463824459147
UniRef90_A0A2V2D811	7.18277405322008
UniRef90_A0A367P263	7.160627651129323
UniRef90_W1I7H1	7.008415613167706
UniRef90_A0A069SFN5	6.948369846882662
UniRef90_C3R494	6.948057932556689
UniRef90_A0A1V9SKL1	6.9426620461959425
UniRef90_R5V7F1	6.891814116290566
UniRef90_A0A1Y4M362	6.853254383301341
UniRef90_A0A395X917	6.85237281110357
UniRef90_E5V0K3	6.715126973425464
UniRef90_C3R489	6.690985864138961
UniRef90_UPI000E524650	6.640611626492015
UniRef90_C9KZX3	6.514322351012864
UniRef90_E5V0K7	6.413850650693437
UniRef90_UPI000E4BF0B0	6.25763699637812
UniRef90_D5H1L5	6.213298727691571
UniRef90_A0A078PP92	6.205256926225635
UniRef90_D4JHZ1	6.139765948068798
UniRef90_A0A015S5I6	6.050480105239006
UniRef90_W1V9N6	6.0367701048225735
UniRef90_R5DSD4	5.994189616702923
UniRef90_A0A3A6GZU9	5.8376817935793115
UniRef90_A0A0L7BTL9	5.792750852159088
UniRef90_A0A3A6GQJ0	5.696369006335245
UniRef90_A0A015WAS2	5.579854971878733
UniRef90_A0A1H3IAC0	5.486737236089679
UniRef90_A0A3A4MBL4	5.471785573216507
UniRef90_R5VBE0	5.44633454416285
UniRef90_D4M154	5.427174463709513
UniRef90_A0A374UMP1	5.2402497809396005
UniRef90_D4JJP5	5.21362108396178
UniRef90_I9F767	5.192447578416596
UniRef90_A0A330T2T8	5.175228626054506
UniRef90_A0A0E2SS30	5.173879006753226
UniRef90_D6DZD1	4.912081472249727
UniRef90_A0A3A6GZT5	4.824536640267424
UniRef90_T4BTB7	4.583403394803813
UniRef90_A0A0E2SNV3	4.433453210625389
UniRef90_F4V8B8	4.4139600023470384
UniRef90_R6B5V4	4.106249639055859
UniRef90_A0A0A0UEW1	4.088717535017613
UniRef90_U2PEQ8	4.034960964734773
UniRef90_D4LVI9	4.00321500153169
UniRef90_A0A1V8RGK0	3.5446817717512444
UniRef90_A0A078STT5	3.274703716305856
UniRef90_D5H1L3	3.146774670211074
UniRef90_D5H0H2	3.080246161603247
UniRef90_A0A395UVB5	3.0692677018772248
UniRef90_A0A329TU65	2.83959491838136
UniRef90_C3R487	2.6141595362607535
UniRef90_A0A3E5G3Y1	2.4900522449364515
UniRef90_D4K2V1	2.486090387307773
UniRef90_UPI000BB85CB4	2.4140395216580917
UniRef90_A0A078QU11	2.3825050279433606
UniRef90_A0A2M9V0Z5	2.145862714346081
UniRef90_A0A080HRD7	2.001529904833739
UniRef90_UPI000E538415	2.0
UniRef90_A0A1G8KQV6	1.9099784667050468
UniRef90_R9HKJ7	1.7166155311760112
UniRef90_S7HFP1	1.66904564034276
UniRef90_B4UUJ3	1.3754142793843651
UniRef90_B5CTJ4	1.3561787671503498
UniRef90_G1ULR3	1.24965124636796
UniRef90_A0A0J1FIM8	1.0798190283820839
UniRef90_B4UUJ6	1.033034769030378
