Node	Rewiring_score
UniRef90_R6CIJ6	60.59294271026062
UniRef90_D1PHE1	60.475769620195884
UniRef90_A0A3E4SPP4	60.16202309503102
UniRef90_A0A174ITR0	59.70016123736252
UniRef90_D1PHL2	59.55597528964915
UniRef90_D1PDB2	59.18351264394593
UniRef90_D1PH59	58.892818583552064
UniRef90_R6C1X3	57.92952659828576
UniRef90_A0A078S8T4	57.79479704327347
UniRef90_G1VFY7	55.46854192334908
UniRef90_R6CJT1	48.07542019397762
UniRef90_D1PCW5	48.04191562816822
UniRef90_D1PDN4	46.86158904251881
UniRef90_A7UXY6	45.75344946733396
UniRef90_W1I4J5	45.49532218858664
UniRef90_A0A3E5A5I7	45.16348790412716
UniRef90_D1PHU3	44.92504405217136
UniRef90_R6BW03	44.48893327177522
UniRef90_R6BTI0	44.451180954257154
UniRef90_A0A396E459	43.943652221210634
UniRef90_A0A3E5DCW8	42.543530285956365
UniRef90_R6XBM0	41.63688038277678
UniRef90_D1P900	41.227396473434666
UniRef90_R6BQE0	41.171548966152116
UniRef90_A0A174XX22	40.98408320337792
UniRef90_A0A174IUV1	40.6634784636311
UniRef90_J9G515	40.543063478236895
UniRef90_R6BRB5	40.35797145413854
UniRef90_R6BUX8	40.18665674671858
UniRef90_R6C158	39.60187133269819
UniRef90_D1PGD8	39.50073051289167
UniRef90_A0A3E4SA91	39.31776801054618
UniRef90_D1PFN7	39.13397103422793
UniRef90_A0A174WD73	38.98811541638155
UniRef90_R6BSE8	38.93927419013256
UniRef90_A0A3E4SI73	38.381527029156146
UniRef90_R6BMD2	38.26633826693231
UniRef90_A0A3E5A247	37.68292749980932
UniRef90_A0A3E5AGE3	37.63983660594893
UniRef90_A0A174Y085	37.436066209292235
UniRef90_A5ZLI5	37.37587435169156
UniRef90_R6CNB3	37.03290684076513
UniRef90_A0A3E5A1V2	36.61335673698483
UniRef90_A0A174IWK6	36.2379712964195
UniRef90_W1I7I5	36.158813494351925
UniRef90_A0A3E4SIS7	35.563294853062544
UniRef90_A0A174M2L1	34.84376286293435
UniRef90_D1PHF2	34.54182304192251
UniRef90_A0A078TKI3	34.22773902354205
UniRef90_A7B5X2	34.20334035245177
UniRef90_R6BR77	34.1195410054048
UniRef90_D1PHT5	34.09113868780896
UniRef90_A0A3E5DLU9	33.719925325900846
UniRef90_D1PEP6	33.14953954482253
UniRef90_A0A015RXL0	33.04771119401158
UniRef90_A0A174I2V0	32.87461336158732
UniRef90_A0A229I5V3	32.696905740596236
UniRef90_T4C1L2	31.577372369255897
UniRef90_Q8A313	31.392433629015837
UniRef90_A0A0E9EMY9	31.19151640577367
UniRef90_A0A3E5A2E2	30.95441283256349
UniRef90_A0A396E0W7	30.881280981469306
UniRef90_I9IGS0	30.547835935184285
UniRef90_A0A396CLY0	30.521030258231793
UniRef90_A0A229I2N4	29.7604220966951
UniRef90_A0A395VRV3	29.25686310390091
UniRef90_A0A3E4JFE8	29.15360825146039
UniRef90_A0A3E5DAG9	29.117198419965305
UniRef90_C9PXM5	28.77621547042332
UniRef90_A0A3E5A3J0	28.757655149447725
UniRef90_A8S539	28.6629611854731
UniRef90_D1PFM4	28.40828370039317
UniRef90_A0A174V8B5	28.073257205456347
UniRef90_F3QWH9	27.703963357052267
UniRef90_W1I713	27.702289517509154
UniRef90_D1PI26	27.66844159216633
UniRef90_A0A174G5T7	27.239417440218165
UniRef90_A0A3E4SC02	27.104340948162143
UniRef90_A0A174Y3E0	27.101461655144384
UniRef90_A0A078QCR7	27.085358372639295
UniRef90_U6RBJ7	26.903204501358484
UniRef90_A0A015XAK8	26.749600119544287
UniRef90_R9HAW9	26.65229031321924
UniRef90_A0A017PFV9	26.649716667575046
UniRef90_A0A229I6J7	26.437375056633048
UniRef90_A0A3E4SDK6	26.403407180190225
UniRef90_A7AJP8	26.395706545627338
UniRef90_A7V7B7	25.826416859687995
UniRef90_A0A174FMC5	25.580754350187327
UniRef90_D1JX84	25.42539468911549
UniRef90_A0A229I2G5	25.378010195784896
UniRef90_R9I4C5	24.958725755735912
UniRef90_A0A0E2SNV3	24.711577404006533
UniRef90_A0A174W7Z4	24.621793558518856
UniRef90_B5CUP9	24.441460208298402
UniRef90_R9GZ01	24.361353643555177
UniRef90_S3ZMJ4	24.3354263656714
UniRef90_A0A2J1D5Q5	24.27831238875937
UniRef90_A0A078SL75	23.95443690254301
UniRef90_Q8A320	23.78855547302601
UniRef90_A0A0E9EGM0	23.690620513959967
UniRef90_D1JX87	23.579547257581304
UniRef90_R6CP58	23.246997982156035
UniRef90_A0A174H816	22.896830362385014
UniRef90_A0A3E5DAU8	22.642573630683444
UniRef90_A0A069S9W9	22.572424737188026
UniRef90_A0A0E2SS30	22.351042498349113
UniRef90_A0A1H7IFE3	21.819342163539616
UniRef90_A0A078QU11	21.81815846248615
UniRef90_A6L6M5	21.64721083323664
UniRef90_A0A174GW64	21.524251461091353
UniRef90_E5VDI7	21.508663088348733
UniRef90_A0A174NJH3	21.450387509307056
UniRef90_I0PY39	21.226700593100116
UniRef90_A0A174TLQ1	21.139369813090422
UniRef90_A0A174F7K5	21.11143506468126
UniRef90_A0A139LNU5	21.10170793421578
UniRef90_A6L6M9	20.888208640871273
UniRef90_A0A069S3Z8	20.672608320901396
UniRef90_I9U451	20.485604512110434
UniRef90_A5ZBN1	20.32635055363711
UniRef90_S3YLG1	20.114303179002018
UniRef90_E4W393	20.10101280641873
UniRef90_A0A374T363	19.86712626728586
UniRef90_Q8A319	19.769093890424102
UniRef90_I9UIG2	19.578648921297898
UniRef90_A7VAA2	19.36716011797295
UniRef90_A0A2J1D4W6	19.157653019580792
UniRef90_R7P268	19.14331653783118
UniRef90_A0A174TB21	19.061962931766296
UniRef90_A5ZI73	19.02160607026031
UniRef90_D1PG33	19.007011518574416
UniRef90_A0A069SLF0	18.68626755477428
UniRef90_A0A015SWD5	18.54248268899497
UniRef90_D1PDG5	18.445452973925526
UniRef90_A0A2I1K572	18.44515848041256
UniRef90_C3R499	18.444604919628677
UniRef90_A0A015P9C8	18.223166170072073
UniRef90_I8ZBQ1	18.215399561072914
UniRef90_F7MA29	18.173987561247777
UniRef90_D1PDG4	18.048838674205857
UniRef90_A0A016JHV3	17.690634361741026
UniRef90_F7LV89	17.493398577893974
UniRef90_A0A078QZI0	17.369550434610876
UniRef90_A0A3D9A699	17.36662459886532
UniRef90_A0A0E2AMZ8	17.342660509006716
UniRef90_A0A3D9AAM6	17.252230750796993
UniRef90_A0A069S6I3	17.223629152468792
UniRef90_A7B6Q1	16.96759346565943
UniRef90_A0A396ESD2	16.405575534452936
UniRef90_W1I8Q3	16.38891977385855
UniRef90_A0A017N0B5	16.22448940735018
UniRef90_A7B5X1	15.931677339552861
UniRef90_A0A0E2AIE4	15.644908821503204
UniRef90_B3JDY5	15.109862693756265
UniRef90_A5ZWS6	14.719597396162733
UniRef90_U6RFJ6	14.655623015155888
UniRef90_C3R489	14.609256908013139
UniRef90_A0A1C5Q1V8	14.22702043354407
UniRef90_R5VH22	13.935853612645499
UniRef90_C3R494	13.908886556027454
UniRef90_A0A2V2DAE4	13.86773911994109
UniRef90_A0A1H3IAC0	13.860053483786261
UniRef90_W1I7H1	13.647680532052567
UniRef90_A0A396F1M4	13.390843869155383
UniRef90_F3PSP1	13.237065088729121
UniRef90_B3JDR7	13.187701852292854
UniRef90_A0A2V2D7Q0	12.938493423920054
UniRef90_A0A2V2D0A4	12.883243020669308
UniRef90_A0A2V2D063	12.804498497271437
UniRef90_A7B8Q0	12.564405948522396
UniRef90_R5VBE0	12.537011551402687
UniRef90_A7B6K6	12.530139469490836
UniRef90_A0A3E4MMY9	12.457571208852437
UniRef90_B3JDS4	12.356530748585001
UniRef90_A5ZT60	12.136707310921402
UniRef90_A0A2V2D682	12.036777711742362
UniRef90_R5V7F1	12.027165971529513
UniRef90_A7B6K2	11.917639163401184
UniRef90_UPI000E4CC2F2	11.509484827526846
UniRef90_R7JSH8	11.504418374132026
UniRef90_E5V0K7	11.445733084915245
UniRef90_B3JF63	11.385219359123504
UniRef90_T4BVE4	11.373315302968694
UniRef90_A0A395XB74	11.37293971473278
UniRef90_A0A2K9HGW9	11.289636776239869
UniRef90_A0A0P0L2X6	11.22084652345991
UniRef90_I9E8A4	11.215068926400825
UniRef90_A0A2M9V0Z5	11.175301384737468
UniRef90_R7A7Y6	11.147669505345714
UniRef90_K7ZQ43	11.075319810776064
UniRef90_A5ZBM7	10.81731404209009
UniRef90_A7B5W7	10.57397494616492
UniRef90_A0A015S5I6	10.517326536371813
UniRef90_A5ZYU0	10.102794831829645
UniRef90_A0A078QI44	10.028855299496417
UniRef90_A0A139K951	9.994224249021228
UniRef90_A5KRL1	9.962112554162132
UniRef90_A5ZNP0	9.799720414927599
UniRef90_R5VKI0	9.70522007104007
UniRef90_K5YRR6	9.643333241156292
UniRef90_UPI000E524292	9.613018745072239
UniRef90_C3R487	9.603528609397983
UniRef90_W6PL08	9.503110609721478
UniRef90_A7LQH0	9.415216229993135
UniRef90_B4UUJ3	9.313328522147671
UniRef90_UPI000E524650	9.237135977451704
UniRef90_A0A136P8W5	9.150522483629691
UniRef90_A0A015ZEU5	9.136226982354113
UniRef90_E2N7L9	9.113470737471866
UniRef90_A5ZYV3	9.102759906099054
UniRef90_A5ZYU5	9.007472616217253
UniRef90_C3R2Y6	8.967682245481164
UniRef90_A0A174I6V5	8.949078340746231
UniRef90_A0A015WAS2	8.865771857884376
UniRef90_F3PNT2	8.79962930840676
UniRef90_S0FCZ1	8.710499790365784
UniRef90_R6AE09	8.692455362879606
UniRef90_G8IJI8	8.682590246745423
UniRef90_A0A3A6GQJ0	8.654680228145674
UniRef90_A0A2V2D801	8.60332340665244
UniRef90_A0A329TU65	8.31404007698798
UniRef90_F3PHK0	8.259212171070486
UniRef90_K5ZST3	8.168840079882564
UniRef90_A0A0E1X896	8.139200684928213
UniRef90_G9S8B2	7.944422938181736
UniRef90_B3C522	7.909338861640758
UniRef90_R5P9K1	7.857327602154611
UniRef90_A0A078R3T2	7.8309268742029206
UniRef90_A0A078STT5	7.719954766871098
UniRef90_R6AKV6	7.7077908662345
UniRef90_A0A174D3N6	7.527286158328606
UniRef90_A0A3A6GZU9	7.52673049705405
UniRef90_E4W3A3	7.500837036395567
UniRef90_B4UUJ6	7.497279401889645
UniRef90_R7JKZ6	7.449807869000957
UniRef90_A0A0N7IA70	7.41770539652883
UniRef90_B5CTJ4	7.171071976200159
UniRef90_A0A016A3X0	6.935480728685904
UniRef90_A0A078SPQ9	6.739266508906072
