cohort,condition,nperm,obs_n_true,null_n_true_mean,null_n_true_sd,p_n_true,obs_n_pathways,null_n_pathways_mean,null_n_pathways_sd,p_n_pathways,obs_top_score,null_top_mean,null_top_sd,p_top_score
acvd,control,500,2781,2660.764,203.91363932802534,0.2694610778443114,153,151.426,2.719655125195105,0.3992015968063872,31.64109167730803,32.840308787463336,4.945094739710122,0.5568862275449101
acvd,ACVD,500,969,1171.39,122.92998779793317,0.9620758483033932,104,109.298,3.3276412066206897,0.9401197604790419,18.645769136569445,18.73037472960793,2.9264551608433833,0.47105788423153694
