cohort,condition,nperm,obs_n_true,null_n_true_mean,null_n_true_sd,p_n_true,obs_n_pathways,null_n_pathways_mean,null_n_pathways_sd,p_n_pathways,obs_top_score,null_top_mean,null_top_sd,p_top_score
ibd,control,1000,4878,6630.751,750.9626415468348,0.9590409590409591,133,157.933,9.330086334005705,0.9690309690309691,61.61563436563438,71.1500934065934,7.813528976745035,0.8951048951048951
ibd,IBD,1000,4593,4588.576,295.6338414728598,0.47952047952047955,187,190.552,3.617636797689895,0.8741258741258742,38.38246905148125,38.703060017075046,4.542146034097505,0.4875124875124875
