rab.all	rab.win.female	rab.win.male	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	feature
-1.66015105644704	-1.18506725970395	-2.22532993683969	-1.46814904861164	11.0702025085511	-0.139764680025943	0.400588768558237	0.00605330272949052	0.72522669664077	0.0584557206862805	0.92623594654047	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95
9.66796144501144	0.774883956221457	15.7387336770742	2.53631253169411	18.6557260862055	0.173967943566682	0.376585145489137	0.0102138022982164	0.892879898177096	0.0101955098285364	0.748890250483464	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis
-2.35745377963498	-2.16203826270631	-2.6316721507001	-0.706273537275541	5.71635387459372	-0.0955593269508901	0.442481884307057	0.0405613852138589	0.904363617846776	0.300037329765228	0.972692839245888	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_145
-1.22110316292851	-0.680902110396541	-1.81580578498889	-1.66970519738771	15.5656197919709	-0.122164915040875	0.398686892006625	0.0151675126553603	0.92468619571749	0.0788021513079319	0.975908112814269	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila
15.595119047076	13.3379864481654	16.7942982509555	1.84792226674847	18.1919654501546	0.127858907508545	0.363677536861208	0.0147129574687372	0.924776645179698	0.00405861244980571	0.678709906113398	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques
0.27694296077679	-0.743362650959805	9.90332312553753	2.47901053276027	16.6544675955423	0.166875185626202	0.396422911940628	0.016984875201311	0.926736009150422	0.0419514464365856	0.922018827005713	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii
-1.9382703050152	-2.22860892083501	-1.41377312123269	1.17938998188651	12.1782155724563	0.104120819533902	0.41825181195313	0.0417368731728741	0.929848708693024	0.144673951041809	0.916625056116981	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_dolichum_CAG_375
-1.69179708496897	-2.06585177603229	-1.035766883597	1.41666270546671	11.4995695261307	0.133012470434839	0.407608696060944	0.0365652337050203	0.931165233303632	0.0999161477313783	0.89999566062593	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D16
-1.9166447869616	-2.22015850136452	-1.42403817327718	1.20834364339066	12.3844082151021	0.111229994386923	0.417025130543305	0.0331759737169033	0.935610011663972	0.143087932765591	0.929426515702449	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella_dolichum
-1.83162319752035	-2.1326884266479	-1.30092276145348	1.17777683174878	13.0880363069379	0.101202448522939	0.418609916589844	0.0471958010883027	0.951940693460497	0.155227219836723	0.924130677160031	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_johnsonii
15.676482342801	14.8608626363575	16.5622655334306	1.46647266720666	13.0646906508489	0.122631353781008	0.399366086026436	0.0222292804561973	0.958555272930247	0.0266622634030282	0.975184090856911	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium
14.511658420137	11.8988005275271	15.9844437196398	1.99275347896489	18.5923284702005	0.125101146932202	0.399139688019832	0.0280782266011344	0.966176260648527	0.0211373508425521	0.916561019403428	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38
-2.22618776857151	-2.02706260307497	-2.52439058224995	-0.680077869956353	6.16646792179897	-0.0925031055417561	0.441249717256945	0.0987081207472546	0.96686380313124	0.298077640480869	0.986955932589073	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus
-2.38896705988654	-2.53702323240423	-2.16471609443803	0.544806554706257	5.67935521441238	0.0811636452748419	0.447362463437676	0.192745161239622	0.968685347785766	0.389168952484391	0.984050940235914	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3
21.0209722656043	20.4034101848679	21.3221900475206	0.710907692744911	5.21285613125763	0.111401259848413	0.429703418916231	0.0225491688372728	0.969650602124901	0.0830224611312875	1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus
