pathway,n_grid_cells,frac_grid
PWY-7560: methylerythritol phosphate pathway II,11,0.9166666666666666
PWY66-391: fatty acid &beta;-oxidation VI (peroxisome),11,0.9166666666666666
PWY-5182: toluene degradation II (aerobic) (via 4-methylcatechol),10,0.8333333333333334
PWY-5180: toluene degradation I (aerobic) (via o-cresol),10,0.8333333333333334
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,9,0.75
PWY-5392: reductive TCA cycle II,6,0.5
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",6,0.5
RUMP-PWY: formaldehyde oxidation I,6,0.5
P23-PWY: reductive TCA cycle I,6,0.5
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,1,0.08333333333333333
